年,男女別,総数,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100歳以上
昭和30年,女,563913,9597,9763,9939,10740,11619,12969,14331,14598,13923,8538,9609,11683,11544,11493,11032,10436,9357,9649,10285,11261,11252,10629,11274,11462,11954,11625,11616,11127,11115,10922,10674,9550,9423,9161,8782,8957,7511,7541,7429,7373,7268,7234,6657,6544,6222,6015,5946,5437,5387,4397,4837,4502,4776,4580,4553,4254,3812,3707,3625,3295,3142,3040,2738,2676,2278,2492,2471,2142,1982,1749,1698,1566,1553,1353,1264,1097,1044,874,795,684,546,417,336,310,224,172,140,115,66,48,31,30,13,8,6,1,4,1,3,0,1
昭和35年,総数,1375710,24620,23647,22275,20935,20968,21398,21261,21613,23428,25361,28263,30928,31658,30353,18300,21856,28993,28902,31852,33665,31222,26562,28450,29172,30511,30175,28447,29936,29141,29502,27773,27379,26396,25494,24614,23267,20304,18867,17994,17208,17375,14681,14710,14770,15009,14853,14998,13839,13337,12842,12516,12024,11171,11059,9207,9996,9392,9655,9361,9144,8214,7564,7225,6937,6266,5930,5580,5040,4766,3981,4126,3934,3462,3074,2516,2283,2036,1841,1523,1332,1128,960,844,632,515,369,276,212,161,118,84,59,40,21,17,4,4,2,1,2,2
昭和35年,男,700727,12607,11971,11406,10723,10812,10974,10860,11081,11957,13063,14548,15730,16150,15521,9297,11210,15100,15114,17181,18892,17590,14949,15740,15835,16176,15537,14502,15180,14694,14985,14267,14182,13888,13435,12713,11896,10083,8935,8340,8066,8058,6854,6969,7043,7434,7360,7459,6915,6625,6377,6280,5858,5528,5558,4778,5059,4805,4875,4738,4549,4000,3703,3565,3369,3059,2940,2648,2364,2288,1887,1837,1725,1567,1333,1017,918,822,674,549,433,407,310,284,200,159,109,83,57,43,22,18,7,10,3,5,0,0,0,0,0,0
昭和35年,女,674983,12013,11676,10869,10212,10156,10424,10401,10532,11471,12298,13715,15198,15508,14832,9003,10646,13893,13788,14671,14773,13632,11613,12710,13337,14335,14638,13945,14756,14447,14517,13506,13197,12508,12059,11901,11371,10221,9932,9654,9142,9317,7827,7741,7727,7575,7493,7539,6924,6712,6465,6236,6166,5643,5501,4429,4937,4587,4780,4623,4595,4214,3861,3660,3568,3207,2990,2932,2676,2478,2094,2289,2209,1895,1741,1499,1365,1214,1167,974,899,721,650,560,432,356,260,193,155,118,96,66,52,30,18,12,4,4,2,1,2,2
昭和40年,総数,1788915,37491,34249,31860,30213,28961,27629,26401,24933,23198,23083,23356,23141,23766,25484,27550,33458,39566,40220,44672,32313,35469,43830,44017,45420,45182,42068,36967,38834,39913,40233,38779,36143,36850,35076,34347,32404,31550,29985,28482,27139,25793,22279,20566,19593,18614,18957,16036,15873,15911,16180,16021,16045,14603,14085,13627,13176,12474,11713,11689,9465,10144,9280,9522,8950,8708,7867,6986,6623,6248,5606,5212,4897,4261,3950,3269,3258,3002,2561,2184,1703,1460,1270,1091,901,687,587,459,368,268,179,136,120,87,60,47,15,6,6,1,1,3
昭和40年,男,927970,19254,17623,16350,15307,14722,14023,13304,12686,11907,11824,11942,11789,12095,12954,14204,17519,21056,21376,24950,18930,20604,25178,25072,25333,24704,22402,19562,20505,20944,20940,20218,18764,19124,18322,17915,17081,16892,16133,15263,14251,13453,11407,9943,9281,8846,8915,7530,7685,7743,7971,7933,8016,7222,6981,6860,6571,6102,5754,5872,4862,5043,4674,4683,4367,4221,3665,3276,3188,2922,2575,2443,2196,1867,1778,1477,1344,1227,1045,863,598,549,460,368,310,202,177,115,112,85,55,31,36,15,16,13,3,0,1,0,1,0
昭和40年,女,860945,18237,16626,15510,14906,14239,13606,13097,12247,11291,11259,11414,11352,11671,12530,13346,15939,18510,18844,19722,13383,14865,18652,18945,20087,20478,19666,17405,18329,18969,19293,18561,17379,17726,16754,16432,15323,14658,13852,13219,12888,12340,10872,10623,10312,9768,10042,8506,8188,8168,8209,8088,8029,7381,7104,6767,6605,6372,5959,5817,4603,5101,4606,4839,4583,4487,4202,3710,3435,3326,3031,2769,2701,2394,2172,1792,1914,1775,1516,1321,1105,911,810,723,591,485,410,344,256,183,124,105,84,72,44,34,12,6,5,1,0,3
昭和45年,総数,2238264,49094,48126,45270,44657,34758,40846,36722,34335,32300,30854,29507,28286,26642,25000,24542,26628,28431,29641,40860,51612,54716,58257,58833,57750,37817,41900,52224,52511,53438,52216,48202,41907,43449,43869,44225,42473,39228,39798,37314,36626,34168,32583,31221,29888,28872,27231,23530,21833,20890,19866,20318,17062,16721,16975,17159,16396,16483,15038,14814,13852,13265,12539,11600,11078,9321,9711,8796,8905,8280,7921,7123,6194,5784,5325,4602,4275,3880,3232,2932,2366,2278,2016,1537,1278,978,787,620,486,383,308,211,174,125,59,59,31,22,9,6,0,4
昭和45年,男,1160455,25206,24766,23309,22878,17689,21004,18798,17583,16422,15676,14959,14327,13593,12814,12595,14071,15398,16025,23487,30639,31879,33301,32967,31970,20707,22056,26955,27050,27426,26924,24922,21896,22867,22912,23131,22299,20405,20828,19458,19217,17908,17258,16659,15917,15049,13985,11950,10431,9687,9308,9403,7931,7963,8157,8363,8136,8134,7375,7272,6829,6517,5997,5572,5334,4654,4679,4273,4195,3837,3659,3124,2763,2581,2375,1954,1832,1595,1282,1205,975,883,731,568,448,316,253,191,148,116,82,65,43,41,16,15,5,5,0,1,0,1
昭和45年,女,1077809,23888,23360,21961,21779,17069,19842,17924,16752,15878,15178,14548,13959,13049,12186,11947,12557,13033,13616,17373,20973,22837,24956,25866,25780,17110,19844,25269,25461,26012,25292,23280,20011,20582,20957,21094,20174,18823,18970,17856,17409,16260,15325,14562,13971,13823,13246,11580,11402,11203,10558,10915,9131,8758,8818,8796,8260,8349,7663,7542,7023,6748,6542,6028,5744,4667,5032,4523,4710,4443,4262,3999,3431,3203,2950,2648,2443,2285,1950,1727,1391,1395,1285,969,830,662,534,429,338,267,226,146,131,84,43,44,26,17,9,5,0,3
