町名,フリガナ,性別,総数,0歳,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10歳,11歳,12歳,13歳,14歳,15歳,16歳,17歳,18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳,41歳,42歳,43歳,44歳,45歳,46歳,47歳,48歳,49歳,50歳,51歳,52歳,53歳,54歳,55歳,56歳,57歳,58歳,59歳,60歳,61歳,62歳,63歳,64歳,65歳,66歳,67歳,68歳,69歳,70歳,71歳,72歳,73歳,74歳,75歳,76歳,77歳,78歳,79歳,80歳,81歳,82歳,83歳,84歳,85歳,86歳,87歳,88歳,89歳,90歳,91歳,92歳,93歳,94歳,95歳,96歳,97歳,98歳,99歳,100歳,101歳,102歳,103歳,104歳,105歳,106歳,107歳,108歳,109歳,110歳,111歳,112歳,113歳,114歳,115歳,116歳,117歳,118歳,119歳,120歳以上
上川井町,カミカワイチョウ,男,1815,14,10,9,12,11,10,13,14,13,20,12,16,24,23,15,16,16,10,21,16,16,22,27,16,15,19,14,22,15,20,17,15,17,17,27,22,14,27,27,17,27,27,12,21,23,31,37,39,27,33,32,30,30,33,23,31,29,23,18,33,24,35,22,18,21,21,19,21,25,31,20,28,32,18,15,14,15,20,23,7,19,15,17,11,11,8,14,15,4,8,2,2,7,3,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上川井町,カミカワイチョウ,女,1778,8,8,13,10,8,16,13,13,11,14,13,8,12,29,13,19,16,7,16,14,17,7,20,16,18,16,12,12,13,8,15,17,14,18,16,18,16,13,24,16,25,17,20,19,22,19,26,30,20,33,21,24,23,35,17,31,22,29,24,18,17,23,15,24,15,20,25,21,25,25,23,29,22,21,22,19,26,22,15,26,20,19,28,28,22,19,19,19,16,16,17,14,13,7,10,5,8,10,3,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川井宿町,カワイシュクチョウ,男,1058,7,9,13,13,4,13,7,7,7,8,13,11,11,9,6,10,6,12,7,13,5,18,14,11,13,10,16,11,12,9,11,16,11,14,16,8,10,18,16,18,12,17,11,15,21,13,13,17,19,15,15,20,18,21,11,22,16,16,17,10,7,14,13,13,9,13,15,11,7,13,18,9,15,11,6,7,9,12,12,13,9,7,11,8,7,6,3,6,6,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川井宿町,カワイシュクチョウ,女,1029,9,10,9,8,13,7,11,15,13,13,13,9,8,12,10,10,13,11,13,15,7,11,3,8,7,12,9,13,6,4,11,9,12,19,9,12,13,15,12,11,14,11,17,17,15,8,11,13,18,17,19,11,9,17,7,21,12,13,14,11,13,5,10,12,8,10,12,16,11,10,8,10,13,13,13,8,9,13,15,14,8,15,17,10,11,8,6,4,5,1,5,2,4,0,2,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川井本町,カワイホンチョウ,男,1980,12,11,12,11,15,13,20,17,25,21,24,17,26,20,23,19,28,20,22,16,20,27,22,22,13,19,17,11,17,16,20,20,19,23,17,23,22,26,20,33,19,26,24,34,37,36,34,39,29,31,39,45,35,29,24,28,27,25,20,28,28,31,27,18,18,34,18,16,19,20,37,37,30,18,16,18,19,22,25,13,16,21,28,13,9,15,7,3,5,5,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川井本町,カワイホンチョウ,女,1933,6,11,9,18,17,16,17,16,22,21,16,24,23,29,19,18,8,15,26,20,18,21,19,16,12,17,19,16,19,16,18,12,15,15,19,19,16,31,23,19,24,16,29,24,32,28,39,37,38,28,37,34,23,28,28,19,23,21,20,25,23,17,18,19,16,15,22,19,23,24,24,33,37,32,19,23,25,31,25,25,24,25,19,15,15,17,15,17,8,8,8,3,5,3,7,2,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下川井町,シモカワイチョウ,男,714,1,4,3,2,3,8,4,6,5,8,7,6,9,6,9,7,8,4,11,9,6,7,7,7,3,6,8,6,5,4,6,1,2,2,3,8,9,8,4,10,11,10,7,15,10,9,11,17,12,15,10,19,15,15,4,12,9,9,5,6,13,9,6,11,8,8,8,7,7,14,14,11,20,6,7,12,11,10,7,11,6,8,9,6,8,2,2,4,5,1,2,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下川井町,シモカワイチョウ,女,751,2,1,1,6,4,3,5,4,8,10,8,11,6,10,3,7,4,10,8,8,8,5,6,4,5,10,4,3,3,3,4,0,8,9,3,8,3,12,7,7,6,8,8,8,9,9,12,8,14,16,13,6,9,5,11,8,7,6,8,5,9,5,9,9,9,9,10,7,13,14,7,11,10,16,6,12,15,17,15,12,14,8,12,11,13,14,11,11,8,5,9,3,1,2,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川島町,カワシマチョウ,男,2805,16,20,16,28,24,23,16,22,30,16,36,23,24,18,21,30,21,30,27,32,32,26,34,28,30,31,30,23,32,13,25,26,26,32,29,25,25,26,30,32,26,35,26,31,47,50,38,41,41,48,53,55,52,48,37,45,35,41,45,39,38,36,41,34,30,30,38,28,35,26,34,50,35,30,19,29,26,22,36,36,37,32,27,29,20,27,24,23,23,16,9,9,6,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
川島町,カワシマチョウ,女,2878,16,16,18,21,15,23,18,24,17,20,21,10,20,24,21,29,11,33,23,30,19,31,26,29,26,25,25,25,29,27,21,19,31,29,23,25,29,33,33,34,31,34,24,32,28,39,42,32,51,54,42,46,51,63,33,50,50,38,36,34,28,29,37,49,23,31,24,27,30,26,38,36,37,51,28,31,50,45,47,40,34,37,39,44,39,44,26,31,20,26,17,13,11,4,9,5,4,1,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
